_id,price,Marque,Modele,Annee,Energie,Kilometrage,Couleur,options[0],options[1],options[2],options[3],options[4],options[5],options[6],options[7],options[8],options[9],options[10],options[11],options[12],options[13],options[14],__v
6622781aad4c164ca6fa6c18,375 Millions,Dacia,Duster,2022,Essence,29000km,Blanc,Climatisation,ABS,ESP,Direction assisstée,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,,,,,0
6622781bad4c164ca6fa6c1a,1 111 Millions,Peugeot,208,2013,Diesel,295000km,Blanc,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,,0
6622781dad4c164ca6fa6c1c,12 345 Millions,Chevrolet,Optra 4 portes,2007,Essence,199000km,Gris Argent,Climatisation,ABS,Retroviseurs électriques,Alarme,Vitres éléctriques,,,,,,,,,,,0
6622781ead4c164ca6fa6c1e,145 Millions,Peugeot,Partner,2009,Diesel,500000km,Gris,Climatisation,ABS,Direction assisstée,Radio CD,Vitres éléctriques,,,,,,,,,,,0
66227823ad4c164ca6fa6c20,158 Millions,Toyota,Yaris,2009,Essence,450km,Bleu Ciel,Climatisation,ABS,Direction assisstée,Phares antibrouillard,Alarme,,,,,,,,,,,0
66227825ad4c164ca6fa6c22,105 Millions,Chevrolet,Sail 4 portes,2012,Essence,390km,Blanc,Climatisation,ABS,Direction assisstée,Retroviseurs électriques,Radio CD,Alarme,Vitres éléctriques,,,,,,,,,0
66227827ad4c164ca6fa6c24,1 234 Millions,Dacia,Sandero,2018,Diesel,85000km,Gris Champagne,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,,0
66227828ad4c164ca6fa6c26,230 Millions,Volkswagen,Golf 5,2008,Essence,72km,Rouge,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,0
6622782aad4c164ca6fa6c28,1 Millions,Peugeot,208,2017,Diesel,230km,Noir,Climatisation,ABS,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,,,,0
6622782bad4c164ca6fa6c2a,1 Millions,Hyundai,i10,2016,Essence,230000km,Gris,,,,,,,,,,,,,,,,0
6622782dad4c164ca6fa6c2c,880 Millions,Citroen,C5 aircross 2024 1.6 ess 180 chv,2023,Essence,00km,Gris Souris,,,,,,,,,,,,,,,,0
6622782fad4c164ca6fa6c2e,315 Millions,Suzuki,Swift,2022,Essence,19000km,Blanc,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,,0
66227831ad4c164ca6fa6c30,245 Millions,Fiat,Fiat 500,2023,Essence,9000km,Noir,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,,0
66227835ad4c164ca6fa6c32,1 Millions,Volkswagen,Polo,2016,Essence,247000km,Marron,,,,,,,,,,,,,,,,0
66227837ad4c164ca6fa6c34,570 Millions,Volkswagen,Golf 8,2022,Essence,,Gris Champagne,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,,,0
66227839ad4c164ca6fa6c36,1 Millions,Renault,Symbol,2017,Essence,105000km,Gris Souris,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Feux du jour,Vitres éléctriques,,,,0
6622783ead4c164ca6fa6c38,1 111 Millions,Volkswagen,Golf 7,2016,Diesel,196000km,Gris,Climatisation,ABS,ESP,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Jantes Alliage,Feux du jour,Vitres éléctriques,,,,,,0
66227840ad4c164ca6fa6c3a,1 Millions,Dacia,Sandero stepway,2023,Diesel,21800km,Gris Souris,Climatisation,ABS,Radar de recul,Direction assisstée,Phares antibrouillard,Alarme,Feux du jour,Vitres éléctriques,,,,,,,,0
66227845ad4c164ca6fa6c3c,350 Millions,Fiat,Doblo,2024,Diesel,1500km,Noir,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Feux du jour,Vitres éléctriques,,,,,0
66227846ad4c164ca6fa6c3e,233 Millions,Renault,Symbol,2015,Essence,90600km,Blanc,Climatisation,ABS,ESP,Retroviseurs électriques,Phares antibrouillard,Radio CD,Jantes Alliage,Feux du jour,Vitres éléctriques,,,,,,,0
66227848ad4c164ca6fa6c40,145 Millions,Renault,Laguna 2,2003,Diesel,365000km,Gris Argent,Climatisation,ABS,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Vitres éléctriques,,,,,,0
6622784aad4c164ca6fa6c42,415 Millions,Seat,Leon,2020,Diesel,48000km,Gris Argent,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,,0
6622784bad4c164ca6fa6c44,1 Millions,Seat,Leon,2019,Diesel,114000km,Noir,Climatisation,ABS,Alarme,,,,,,,,,,,,,0
